3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations","2017",181551,9869.119768246812
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations","2018",91533,5524.919999420806
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations","2013",31514,3511.67040025114
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations","2016",51591,4389.219634513634
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations","2015",250799,9124.503328948926
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations","2017",96997,5595.1854303499185
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians","2017",65934,4399.8531793686025
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations","2017",503560,12018.07522026718
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations","2016",34372,3192.5228268565284
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations","2015",104291,5020.392116159852
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations","2014",246147,8251.95958545605
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations","2017",389845,11682.90824238554
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations","2014",78236,4495.253719202065
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations","2013",227239,8098.302105997282
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations","2018",410283,10226.854257297304
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations","2017",60805,5001.247944263511
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations","2018",74610,4572.202970122827
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2015",150434,5816.425878492737
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations","2013",193656,7192.636790496236
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations","2016",177595,7790.3137934232145
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations","2016",85755,4934.706171597251
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations","2017",426654,11724.438152849798
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations","2016",242762,9627.798346454914
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2014",146012,5843.6269559238635
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2016",70675,4935.166157283867
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations","2018",210247,7572.605496128793
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations","2018",181456,8335.793003667977
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations","2013",189273,7726.185345951778
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations","2015",36662,3095.3823673336383
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians","2013",46960,3455.8807849808704
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations","2016",406890,10341.64803114088
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations","2017",257358,8285.928855596094
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations","2014",483499,10838.709378888245
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations","2015",231176,8456.184718890665
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations","2018",243153,9661.527881241143
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations","2014",185330,8008.254054411611
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations","2018",367917,10430.530427547777
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations","2015",190415,7866.446275161356
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations","2013",33511,2974.341103505111
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2017",72458,4409.926643380817
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations","2016",230531,8242.982227325254
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations","2016",493743,12343.584446991075
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2017",158090,6802.203319513464
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations","2014",401928,10398.763195688225
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians","2015",62433,3900.2570428114095
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations","2015",189995,8394.779568279324
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations","2014",184928,7052.884020030388
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations","2016",213422,7482.380637203643
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2015",74019,4914.877414544538
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2016",155476,6394.576608345545
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2018",74609,5012.426558065465
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations","2015",199210,8037.077329477425
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations","2017",33221,3080.65983191913
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations","2017",42351,4034.035448530417
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations","2018",42150,3462.0369726506383
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians","2016",55120,3748.2382528329226
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations","2018",1763,904.2173411298855
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations","2014",79177,4625.412954537141
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations","2015",84705,5336.751071579038
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations","2013",105705,5831.541991617654
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations","2014",96277,4805.738756944659
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations","2014",250536,7105.282330773353
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations","2017",81047,5018.0362692989775
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations","2015",415400,12017.364519727276
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations","2015",3635,1138.9701488625592
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations","2016",197380,7367.418272366514
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations","2016",246499,8266.554905158497
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations","2013",75537,5320.363239479048
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations","2014",105536,4910.606174394359
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors","2013",34622,3162.0520236074553
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations","2013",244623,8755.503983209648
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations","2016",41592,3603.5467251029227
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations","2018",59333,4167.920944547773
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations","2014",31405,3174.392067782428
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors","2014",36206,3429.795474951823
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors","2017",41005,3501.381584460625
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations","2013",194342,8695.233866895129
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations","2015",264243,8129.468924843737
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations","2014",2509,1076.4836273720098
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations","2013",228652,9411.56618209743
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations","2017",197835,8172.203436038533
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations","2013",56918,4774.581552345713
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations","2014",71910,5920.354719102565
