ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2017,"2017","04000US36","New York",41005,3501.381584460625,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2017,"2017","04000US36","New York",389845,11682.90824238554,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2017,"2017","04000US36","New York",503560,12018.07522026718,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2017,"2017","04000US36","New York",3126,946.1944831798587,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2017,"2017","04000US36","New York",181551,9869.119768246812,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2017,"2017","04000US36","New York",72889,4904.788272698424,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2017,"2017","04000US36","New York",96997,5595.1854303499185,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2017,"2017","04000US36","New York",197835,8172.203436038533,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2017,"2017","04000US36","New York",60805,5001.247944263511,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2016,"2016","04000US36","New York",432482,10898.413324883582,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2016,"2016","04000US36","New York",230531,8242.982227325254,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2016,"2016","04000US36","New York",113335,5264.703315477521,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2016,"2016","04000US36","New York",41592,3603.5467251029227,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2016,"2016","04000US36","New York",34372,3192.5228268565284,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2016,"2016","04000US36","New York",88615,4846.787389601488,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2016,"2016","04000US36","New York",85755,4934.706171597251,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2016,"2016","04000US36","New York",246499,8266.554905158497,"New York, NY","16000US3651000","new-york-ny"
