ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
9,"Education, Legal, Community Service, Arts, & Media Occupations",2017,"2017",53315,2009,"New York, NY","16000US3651000","new-york-ny"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2013,"2013",51943,1037,"New York, NY","16000US3651000","new-york-ny"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2015,"2015",51743,786,"New York, NY","16000US3651000","new-york-ny"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2016,"2016",51523,837,"New York, NY","16000US3651000","new-york-ny"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2014,"2014",51507,877,"New York, NY","16000US3651000","new-york-ny"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2016,"2016",51187,641,"New York, NY","16000US3651000","new-york-ny"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2015,"2015",50926,561,"New York, NY","16000US3651000","new-york-ny"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2014,"2014",49817,1638,"New York, NY","16000US3651000","new-york-ny"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2013,"2013",48953,1617,"New York, NY","16000US3651000","new-york-ny"
10,"Community & Social Service Occupations",2018,"2018",47670,2347,"New York, NY","16000US3651000","new-york-ny"
12,"Education Instruction, & Library Occupations",2018,"2018",47283,2535,"New York, NY","16000US3651000","new-york-ny"
31,"Installation, Maintenance, & Repair Occupations",2018,"2018",47023,4977,"New York, NY","16000US3651000","new-york-ny"
12,"Education Instruction, & Library Occupations",2017,"2017",46401,1943,"New York, NY","16000US3651000","new-york-ny"
19,"Protective Service Occupations",2017,"2017",44915,3141,"New York, NY","16000US3651000","new-york-ny"
19,"Protective Service Occupations",2018,"2018",44681,1731,"New York, NY","16000US3651000","new-york-ny"
16,"Health Technologists & Technicians",2013,"2013",44369,2956,"New York, NY","16000US3651000","new-york-ny"
10,"Community & Social Service Occupations",2016,"2016",44186,2440,"New York, NY","16000US3651000","new-york-ny"
16,"Health Technologists & Technicians",2017,"2017",44058,2959,"New York, NY","16000US3651000","new-york-ny"
16,"Health Technologists & Technicians",2018,"2018",44054,3012,"New York, NY","16000US3651000","new-york-ny"
31,"Installation, Maintenance, & Repair Occupations",2016,"2016",43199,4270,"New York, NY","16000US3651000","new-york-ny"
10,"Community & Social Service Occupations",2017,"2017",43131,2025,"New York, NY","16000US3651000","new-york-ny"
0,"Total",2018,"2018",42988,883,"New York, NY","16000US3651000","new-york-ny"
16,"Health Technologists & Technicians",2016,"2016",42675,2150,"New York, NY","16000US3651000","new-york-ny"
16,"Health Technologists & Technicians",2014,"2014",42564,2922,"New York, NY","16000US3651000","new-york-ny"
12,"Education Instruction, & Library Occupations",2015,"2015",42411,2410,"New York, NY","16000US3651000","new-york-ny"
19,"Protective Service Occupations",2016,"2016",42340,3350,"New York, NY","16000US3651000","new-york-ny"
31,"Installation, Maintenance, & Repair Occupations",2014,"2014",42310,4718,"New York, NY","16000US3651000","new-york-ny"
31,"Installation, Maintenance, & Repair Occupations",2015,"2015",42298,1780,"New York, NY","16000US3651000","new-york-ny"
12,"Education Instruction, & Library Occupations",2016,"2016",42280,2552,"New York, NY","16000US3651000","new-york-ny"
10,"Community & Social Service Occupations",2013,"2013",42182,1702,"New York, NY","16000US3651000","new-york-ny"
31,"Installation, Maintenance, & Repair Occupations",2017,"2017",42108,2234,"New York, NY","16000US3651000","new-york-ny"
19,"Protective Service Occupations",2015,"2015",42049,1459,"New York, NY","16000US3651000","new-york-ny"
10,"Community & Social Service Occupations",2014,"2014",41907,678,"New York, NY","16000US3651000","new-york-ny"
16,"Health Technologists & Technicians",2015,"2015",41370,1149,"New York, NY","16000US3651000","new-york-ny"
10,"Community & Social Service Occupations",2015,"2015",41338,889,"New York, NY","16000US3651000","new-york-ny"
0,"Total",2017,"2017",41092,253,"New York, NY","16000US3651000","new-york-ny"
12,"Education Instruction, & Library Occupations",2014,"2014",40675,1305,"New York, NY","16000US3651000","new-york-ny"
31,"Installation, Maintenance, & Repair Occupations",2013,"2013",40508,1402,"New York, NY","16000US3651000","new-york-ny"
0,"Total",2016,"2016",40240,256,"New York, NY","16000US3651000","new-york-ny"
19,"Protective Service Occupations",2014,"2014",40187,2071,"New York, NY","16000US3651000","new-york-ny"
12,"Education Instruction, & Library Occupations",2013,"2013",40146,1661,"New York, NY","16000US3651000","new-york-ny"
27,"Office & Administrative Support Occupations",2018,"2018",39707,1112,"New York, NY","16000US3651000","new-york-ny"
19,"Protective Service Occupations",2013,"2013",38742,2090,"New York, NY","16000US3651000","new-york-ny"
28,"Natural Resources, Construction, & Maintenance Occupations",2018,"2018",38669,2541,"New York, NY","16000US3651000","new-york-ny"
0,"Total",2015,"2015",38449,743,"New York, NY","16000US3651000","new-york-ny"
28,"Natural Resources, Construction, & Maintenance Occupations",2017,"2017",37392,1783,"New York, NY","16000US3651000","new-york-ny"
25,"Sales & Office Occupations",2018,"2018",37313,707,"New York, NY","16000US3651000","new-york-ny"
0,"Total",2014,"2014",37234,314,"New York, NY","16000US3651000","new-york-ny"
0,"Total",2013,"2013",37113,269,"New York, NY","16000US3651000","new-york-ny"
28,"Natural Resources, Construction, & Maintenance Occupations",2016,"2016",37105,981,"New York, NY","16000US3651000","new-york-ny"
30,"Construction & Extraction Occupations",2018,"2018",36713,1150,"New York, NY","16000US3651000","new-york-ny"
30,"Construction & Extraction Occupations",2017,"2017",36402,1260,"New York, NY","16000US3651000","new-york-ny"
28,"Natural Resources, Construction, & Maintenance Occupations",2015,"2015",36234,864,"New York, NY","16000US3651000","new-york-ny"
27,"Office & Administrative Support Occupations",2017,"2017",35881,721,"New York, NY","16000US3651000","new-york-ny"
28,"Natural Resources, Construction, & Maintenance Occupations",2014,"2014",35735,976,"New York, NY","16000US3651000","new-york-ny"
27,"Office & Administrative Support Occupations",2016,"2016",35507,598,"New York, NY","16000US3651000","new-york-ny"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2018,"2018",35461,2411,"New York, NY","16000US3651000","new-york-ny"
28,"Natural Resources, Construction, & Maintenance Occupations",2013,"2013",35397,942,"New York, NY","16000US3651000","new-york-ny"
30,"Construction & Extraction Occupations",2016,"2016",35364,1440,"New York, NY","16000US3651000","new-york-ny"
27,"Office & Administrative Support Occupations",2015,"2015",35012,937,"New York, NY","16000US3651000","new-york-ny"
26,"Sales & Related Occupations",2018,"2018",33791,2323,"New York, NY","16000US3651000","new-york-ny"
34,"Transportation Occupations",2018,"2018",33505,2093,"New York, NY","16000US3651000","new-york-ny"
27,"Office & Administrative Support Occupations",2014,"2014",33432,1141,"New York, NY","16000US3651000","new-york-ny"
25,"Sales & Office Occupations",2017,"2017",33307,1467,"New York, NY","16000US3651000","new-york-ny"
27,"Office & Administrative Support Occupations",2013,"2013",33265,1285,"New York, NY","16000US3651000","new-york-ny"
30,"Construction & Extraction Occupations",2015,"2015",32579,1653,"New York, NY","16000US3651000","new-york-ny"
25,"Sales & Office Occupations",2016,"2016",32385,800,"New York, NY","16000US3651000","new-york-ny"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2017,"2017",32304,2132,"New York, NY","16000US3651000","new-york-ny"
25,"Sales & Office Occupations",2015,"2015",32208,407,"New York, NY","16000US3651000","new-york-ny"
30,"Construction & Extraction Occupations",2014,"2014",32129,884,"New York, NY","16000US3651000","new-york-ny"
30,"Construction & Extraction Occupations",2013,"2013",31871,1361,"New York, NY","16000US3651000","new-york-ny"
34,"Transportation Occupations",2017,"2017",31740,604,"New York, NY","16000US3651000","new-york-ny"
25,"Sales & Office Occupations",2014,"2014",31600,401,"New York, NY","16000US3651000","new-york-ny"
33,"Production Occupations",2018,"2018",31487,1814,"New York, NY","16000US3651000","new-york-ny"
25,"Sales & Office Occupations",2013,"2013",31291,400,"New York, NY","16000US3651000","new-york-ny"
33,"Production Occupations",2017,"2017",31241,882,"New York, NY","16000US3651000","new-york-ny"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016",31186,1887,"New York, NY","16000US3651000","new-york-ny"
34,"Transportation Occupations",2016,"2016",31083,493,"New York, NY","16000US3651000","new-york-ny"
34,"Transportation Occupations",2015,"2015",31063,513,"New York, NY","16000US3651000","new-york-ny"
32,"Production, Transportation, & Material Moving Occupations",2018,"2018",31057,512,"New York, NY","16000US3651000","new-york-ny"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015",30920,1160,"New York, NY","16000US3651000","new-york-ny"
32,"Production, Transportation, & Material Moving Occupations",2017,"2017",30749,529,"New York, NY","16000US3651000","new-york-ny"
26,"Sales & Related Occupations",2017,"2017",30536,1109,"New York, NY","16000US3651000","new-york-ny"
26,"Sales & Related Occupations",2016,"2016",30169,1510,"New York, NY","16000US3651000","new-york-ny"
34,"Transportation Occupations",2013,"2013",30030,2404,"New York, NY","16000US3651000","new-york-ny"
34,"Transportation Occupations",2014,"2014",29784,1083,"New York, NY","16000US3651000","new-york-ny"
26,"Sales & Related Occupations",2015,"2015",29652,2163,"New York, NY","16000US3651000","new-york-ny"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2013,"2013",29638,1464,"New York, NY","16000US3651000","new-york-ny"
32,"Production, Transportation, & Material Moving Occupations",2016,"2016",29633,1164,"New York, NY","16000US3651000","new-york-ny"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2014,"2014",28370,2167,"New York, NY","16000US3651000","new-york-ny"
26,"Sales & Related Occupations",2014,"2014",28036,2058,"New York, NY","16000US3651000","new-york-ny"
32,"Production, Transportation, & Material Moving Occupations",2015,"2015",27797,1335,"New York, NY","16000US3651000","new-york-ny"
32,"Production, Transportation, & Material Moving Occupations",2013,"2013",26740,734,"New York, NY","16000US3651000","new-york-ny"
26,"Sales & Related Occupations",2013,"2013",26695,1058,"New York, NY","16000US3651000","new-york-ny"
33,"Production Occupations",2016,"2016",26606,817,"New York, NY","16000US3651000","new-york-ny"
29,"Farming, Fishing, & Forestry Occupations",2015,"2015",26495,4908,"New York, NY","16000US3651000","new-york-ny"
32,"Production, Transportation, & Material Moving Occupations",2014,"2014",26321,662,"New York, NY","16000US3651000","new-york-ny"
33,"Production Occupations",2013,"2013",26070,1213,"New York, NY","16000US3651000","new-york-ny"
17,"Service Occupations",2018,"2018",25802,361,"New York, NY","16000US3651000","new-york-ny"
23,"Building & Grounds Cleaning & Maintenance Occupations",2018,"2018",25647,915,"New York, NY","16000US3651000","new-york-ny"
22,"Food Preparation & Serving Related Occupations",2018,"2018",25466,470,"New York, NY","16000US3651000","new-york-ny"
35,"Material Moving Occupations",2016,"2016",25402,2056,"New York, NY","16000US3651000","new-york-ny"
33,"Production Occupations",2015,"2015",25393,1256,"New York, NY","16000US3651000","new-york-ny"
35,"Material Moving Occupations",2018,"2018",25159,1255,"New York, NY","16000US3651000","new-york-ny"
35,"Material Moving Occupations",2017,"2017",24872,1563,"New York, NY","16000US3651000","new-york-ny"
23,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017",24735,1565,"New York, NY","16000US3651000","new-york-ny"
23,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016",24734,1232,"New York, NY","16000US3651000","new-york-ny"
35,"Material Moving Occupations",2013,"2013",23634,2995,"New York, NY","16000US3651000","new-york-ny"
29,"Farming, Fishing, & Forestry Occupations",2018,"2018",23530,19147,"New York, NY","16000US3651000","new-york-ny"
17,"Service Occupations",2017,"2017",23341,534,"New York, NY","16000US3651000","new-york-ny"
18,"Healthcare Support Occupations",2018,"2018",23184,871,"New York, NY","16000US3651000","new-york-ny"
18,"Healthcare Support Occupations",2013,"2013",23101,1162,"New York, NY","16000US3651000","new-york-ny"
18,"Healthcare Support Occupations",2014,"2014",22773,1059,"New York, NY","16000US3651000","new-york-ny"
